DBN,School Name ,School Type ,Program ,Language 
30Q011 ,P.S. 011 Kathryn Phelan ,Elementary ,Transitional Bilingual Education ,Spanish 
30Q017 ,P.S. 017 Henry David Thoreau ,Elementary ,Dual Language ,Spanish 
30Q070 ,P.S. 070 ,Elementary ,Transitional Bilingual Education ,Spanish 
30Q076 ,P.S. 076 William Hallet ,Elementary ,Dual Language ,Spanish 
30Q076 ,P.S. 076 William Hallet ,Elementary ,Transitional Bilingual Education ,Spanish 
30Q092 ,P.S. 092 Harry T. Stewart Sr. ,Elementary ,Transitional Bilingual Education ,Spanish 
30Q112 ,P.S. 112 Dutch Kills ,Elementary ,Dual Language ,Spanish 
30Q127 ,P.S. 127 Aerospace Science Magnet School ,K-8 ,Dual Language ,Spanish 
30Q127 ,P.S. 127 Aerospace Science Magnet School ,K-8 ,Transitional Bilingual Education ,Spanish 
30Q145 ,I.S. 145 Joseph Pulitzer ,Junior High-Intermediate-Middle ,Dual Language ,Spanish 
30Q145 ,I.S. 145 Joseph Pulitzer ,Junior High-Intermediate-Middle ,Transitional Bilingual Education ,Spanish 
30Q148 ,P.S. 148 Queens ,Elementary ,Transitional Bilingual Education ,Spanish 
30Q149 ,P.S. 149 Christa Mcauliffe ,Elementary ,Dual Language ,Spanish 
30Q150 ,P.S. 150 Queens ,Elementary ,Dual Language ,Spanish 
30Q152 ,P.S. 152 Gwendoline N. Alleyne School ,Elementary ,Transitional Bilingual Education ,Spanish 
30Q166 ,P.S. 166 Henry Gradstein ,Elementary ,Dual Language ,Spanish 
30Q204 ,I.S. 204 Oliver W. Holmes ,Junior High-Intermediate-Middle ,Dual Language ,Spanish 
30Q212 ,P.S. 212 ,Elementary ,Dual Language ,Spanish 
30Q222 ,P.S. Q222 - Fire Fighter Christopher A. Santora Sc ,Early Childhood ,Dual Language ,Spanish 
30Q228 ,P.S. 228 Early Childhood Magnet School of the Arts ,Early Childhood ,Dual Language ,Spanish 
30Q228 ,P.S. 228 Early Childhood Magnet School of the Arts ,Early Childhood ,Transitional Bilingual Education ,Spanish 
30Q235 ,Academy for New Americans ,Junior High-Intermediate-Middle ,Transitional Bilingual Education ,Spanish 
30Q280 ,P.S. 280 ,Elementary ,Dual Language ,Spanish 
30Q329 ,East Elmhurst Community School ,Elementary ,Dual Language ,Spanish 
30Q445 ,William Cullen Bryant High School ,High school ,Transitional Bilingual Education ,Spanish 
30Q450 ,Long Island City High School ,High school ,Dual Language ,Spanish 
30Q555 ,Newcomers High School ,High school ,Transitional Bilingual Education ,Chinese 
30Q555 ,Newcomers High School ,High school ,Transitional Bilingual Education ,Spanish 