School name,Address,Borough,City,State,School type,School Type,Number of students,Bilingual Education ,Type,Grades,Classes per grade
PS 127 AEROSPACE SCIENCE MAGNET,98-01 25 Ave,Queens,New York,New York,Elementary School , Public,1459,No,-,-,-
PS 143 LOUIS ARMSTRONG,110-02 Northern Blvd,Queens,New York,New York,Elementary School , Public,1836,No,-,-,-
PS 148,89-02 32 Ave,Queens,New York,New York,Elementary School , Public,1042,Yes,DLBE,-,-
PS 149 CHRISTA MCAULIFFE,93-11 34 Ave,Queens,New York,New York,Elementary School , Public,1261,Yes,DLBE,K-5,-
PS 212,34-25 82 St,Queens,New York,New York,Elementary School , Public,807,Yes,DLBE,K-4 (soon 5),-
PS 222-FF CHRISTOPHER A SANTORA,86-15 37 Ave,Queens,New York,New York,Elementary School , Public,342,Yes,DLBE,Pre K-2,-
PS 228 EARLY CHILDHOOD MAGNET,32-63 93 St,Queens,New York,New York,Elementary School , Public,370,Yes,DLBE,Pre K-2,-
PS 280,34-20 94 St,Queens,New York,New York,Elementary School , Public,482,Yes,DLBE,K-5,1
PS 330,110-08 Northern Blvd,Queens,New York,New York,Elementary School , Public,379,No,-,-,-
PS 69 JACKSON HEIGHTS,77-02 37 Ave,Queens,New York,New York,Elementary School , Public,1235,No,-,-,-
PS 92 HARRY T STEWART SR,99-01 34 Ave,Queens,New York,New York,Elementary School , Public,900,Yes,DLBE,K (growing a grade each year),1 or 2
IS 145 JOSEPH PULITZER,33-34 80 St,Queens,New York,New York,Intermediate/JHS , Public,2080,Yes,DLBE,8-Jun,2
 IS 227 LOUIS ARMSTRONG,32-02 Junction Blvd,Queens,New York,New York,Intermediate/JHS , Public,1684,No,-,-,-
IS 230,73-10 34 Ave,Queens,New York,New York,Intermediate/JHS , Public,995,No,-,-,-
EAST ELMHURST COMMUNITY SCHOOL,26-25 97 St,Queens,New York,New York,Other School , Public Charter,71,No,-,-,-
RENAISSANCE CHARTER HS-INNOVATION,35-59 81 St,Queens,New York,New York,High School , Public Charter,441,No,-,-,-
RENAISSANCE CHARTER SCHOOL (THE),35-59 81 St,Queens,New York,New York,K-12 School , Public Charter,537,No,-,-,-
PS 398,69-1 34th Ave,Queens,New York,New York,K-12 School ,Public,117,Yes,DLBE,n/a,-